Tree	Tree_taxa	RefTree_taxa	Common_taxa	R-F	R-F_toYuleAvg	R-F_toUnifAvg
1	109	109	109	93.0000	0.8791	0.8785
2	109	109	109	93.0000	0.8791	0.8785
3	109	109	109	92.0000	0.8697	0.8691
4	109	109	109	92.0000	0.8697	0.8691
5	109	109	109	92.0000	0.8697	0.8691
6	109	109	109	92.0000	0.8697	0.8691
7	109	109	109	93.0000	0.8791	0.8785
8	109	109	109	93.0000	0.8791	0.8785
9	109	109	109	91.0000	0.8602	0.8596
10	109	109	109	93.0000	0.8791	0.8785
11	109	109	109	93.0000	0.8791	0.8785
12	109	109	109	93.0000	0.8791	0.8785
13	109	109	109	93.0000	0.8791	0.8785
14	109	109	109	93.0000	0.8791	0.8785
15	109	109	109	93.0000	0.8791	0.8785
16	109	109	109	92.0000	0.8697	0.8691
17	109	109	109	92.0000	0.8697	0.8691
18	109	109	109	92.0000	0.8697	0.8691
19	109	109	109	93.0000	0.8791	0.8785
20	109	109	109	93.0000	0.8791	0.8785
21	109	109	109	92.0000	0.8697	0.8691
22	109	109	109	93.0000	0.8791	0.8785
23	109	109	109	93.0000	0.8791	0.8785
24	109	109	109	93.0000	0.8791	0.8785
25	109	109	109	92.0000	0.8697	0.8691
26	109	109	109	93.0000	0.8791	0.8785
27	109	109	109	93.0000	0.8791	0.8785
28	109	109	109	93.0000	0.8791	0.8785
29	109	109	109	93.0000	0.8791	0.8785
30	109	109	109	93.0000	0.8791	0.8785
31	109	109	109	93.0000	0.8791	0.8785
32	109	109	109	93.0000	0.8791	0.8785
33	109	109	109	93.0000	0.8791	0.8785
34	109	109	109	93.0000	0.8791	0.8785
35	109	109	109	92.0000	0.8697	0.8691
36	109	109	109	93.0000	0.8791	0.8785
37	109	109	109	92.0000	0.8697	0.8691
38	109	109	109	92.0000	0.8697	0.8691
39	109	109	109	93.0000	0.8791	0.8785
40	109	109	109	93.0000	0.8791	0.8785
41	109	109	109	93.0000	0.8791	0.8785
42	109	109	109	93.0000	0.8791	0.8785
43	109	109	109	93.0000	0.8791	0.8785
44	109	109	109	93.0000	0.8791	0.8785
45	109	109	109	92.0000	0.8697	0.8691
46	109	109	109	93.0000	0.8791	0.8785
47	109	109	109	93.0000	0.8791	0.8785
48	109	109	109	93.0000	0.8791	0.8785
49	109	109	109	93.0000	0.8791	0.8785
50	109	109	109	93.0000	0.8791	0.8785
51	109	109	109	93.0000	0.8791	0.8785
52	109	109	109	93.0000	0.8791	0.8785
53	109	109	109	93.0000	0.8791	0.8785
54	109	109	109	92.0000	0.8697	0.8691
55	109	109	109	93.0000	0.8791	0.8785
56	109	109	109	93.0000	0.8791	0.8785
57	109	109	109	92.0000	0.8697	0.8691
58	109	109	109	93.0000	0.8791	0.8785
59	109	109	109	93.0000	0.8791	0.8785
60	109	109	109	93.0000	0.8791	0.8785
61	109	109	109	93.0000	0.8791	0.8785
62	109	109	109	93.0000	0.8791	0.8785
63	109	109	109	93.0000	0.8791	0.8785
64	109	109	109	92.0000	0.8697	0.8691
65	109	109	109	93.0000	0.8791	0.8785
66	109	109	109	92.0000	0.8697	0.8691
67	109	109	109	93.0000	0.8791	0.8785
68	109	109	109	92.0000	0.8697	0.8691
69	109	109	109	93.0000	0.8791	0.8785
70	109	109	109	92.0000	0.8697	0.8691
71	109	109	109	91.0000	0.8602	0.8596
72	109	109	109	93.0000	0.8791	0.8785
73	109	109	109	93.0000	0.8791	0.8785
74	109	109	109	93.0000	0.8791	0.8785
75	109	109	109	93.0000	0.8791	0.8785
76	109	109	109	93.0000	0.8791	0.8785
77	109	109	109	93.0000	0.8791	0.8785
78	109	109	109	93.0000	0.8791	0.8785
79	109	109	109	93.0000	0.8791	0.8785
80	109	109	109	93.0000	0.8791	0.8785
81	109	109	109	92.0000	0.8697	0.8691
82	109	109	109	92.0000	0.8697	0.8691
83	109	109	109	93.0000	0.8791	0.8785
84	109	109	109	93.0000	0.8791	0.8785
85	109	109	109	93.0000	0.8791	0.8785
86	109	109	109	93.0000	0.8791	0.8785
87	109	109	109	93.0000	0.8791	0.8785
88	109	109	109	93.0000	0.8791	0.8785
89	109	109	109	92.0000	0.8697	0.8691
90	109	109	109	93.0000	0.8791	0.8785
91	109	109	109	93.0000	0.8791	0.8785
92	109	109	109	93.0000	0.8791	0.8785
93	109	109	109	93.0000	0.8791	0.8785
94	109	109	109	93.0000	0.8791	0.8785
95	109	109	109	93.0000	0.8791	0.8785
96	109	109	109	93.0000	0.8791	0.8785
97	109	109	109	93.0000	0.8791	0.8785
98	109	109	109	93.0000	0.8791	0.8785
99	109	109	109	93.0000	0.8791	0.8785
100	109	109	109	93.0000	0.8791	0.8785
101	109	109	109	93.0000	0.8791	0.8785
102	109	109	109	93.0000	0.8791	0.8785
103	109	109	109	93.0000	0.8791	0.8785
104	109	109	109	93.0000	0.8791	0.8785
105	109	109	109	93.0000	0.8791	0.8785
106	109	109	109	93.0000	0.8791	0.8785
107	109	109	109	93.0000	0.8791	0.8785
108	109	109	109	93.0000	0.8791	0.8785
109	109	109	109	92.0000	0.8697	0.8691
110	109	109	109	93.0000	0.8791	0.8785
111	109	109	109	93.0000	0.8791	0.8785
112	109	109	109	93.0000	0.8791	0.8785
113	109	109	109	93.0000	0.8791	0.8785
114	109	109	109	92.0000	0.8697	0.8691
115	109	109	109	93.0000	0.8791	0.8785
116	109	109	109	93.0000	0.8791	0.8785
117	109	109	109	92.0000	0.8697	0.8691
118	109	109	109	93.0000	0.8791	0.8785
119	109	109	109	93.0000	0.8791	0.8785
120	109	109	109	93.0000	0.8791	0.8785
121	109	109	109	93.0000	0.8791	0.8785
122	109	109	109	93.0000	0.8791	0.8785
123	109	109	109	93.0000	0.8791	0.8785
124	109	109	109	93.0000	0.8791	0.8785
125	109	109	109	93.0000	0.8791	0.8785
126	109	109	109	92.0000	0.8697	0.8691
127	109	109	109	92.0000	0.8697	0.8691
128	109	109	109	93.0000	0.8791	0.8785
129	109	109	109	93.0000	0.8791	0.8785
130	109	109	109	92.0000	0.8697	0.8691
131	109	109	109	93.0000	0.8791	0.8785
132	109	109	109	93.0000	0.8791	0.8785
133	109	109	109	93.0000	0.8791	0.8785
134	109	109	109	93.0000	0.8791	0.8785
135	109	109	109	92.0000	0.8697	0.8691
136	109	109	109	93.0000	0.8791	0.8785
137	109	109	109	93.0000	0.8791	0.8785
138	109	109	109	93.0000	0.8791	0.8785
139	109	109	109	93.0000	0.8791	0.8785
140	109	109	109	93.0000	0.8791	0.8785
141	109	109	109	93.0000	0.8791	0.8785
142	109	109	109	93.0000	0.8791	0.8785
143	109	109	109	93.0000	0.8791	0.8785
144	109	109	109	93.0000	0.8791	0.8785
145	109	109	109	91.0000	0.8602	0.8596
146	109	109	109	93.0000	0.8791	0.8785
147	109	109	109	93.0000	0.8791	0.8785
148	109	109	109	93.0000	0.8791	0.8785
