lib	type	trip	id	location	antibiotics	proj	projlib	readlength	country	site	environment	latitude	longitude
H2_AT20_HDM-B1_STXAQX_ABN_4745_D	H2	AT20	HDM-B1	STXAQX	ABN	4745	D	150	Austria	Vienna	aquarium	48.19766	16.35292
H2_AT20_HDM-B2_STXAQX_ABN_4745_E	H2	AT20	HDM-B2	STXAQX	ABN	4745	E	150	Austria	Vienna	aquarium	48.19766	16.35292
H2_AT20_HDM-B3_STXAQX_ABN_4745_F	H2	AT20	HDM-B3	STXAQX	ABN	4745	F	150	Austria	Vienna	aquarium	48.19766	16.35292
H2_AT20_HDM-B4_STXAQX_ABN_4745_G	H2	AT20	HDM-B4	STXAQX	ABN	4745	G	150	Austria	Vienna	aquarium	48.19766	16.35292
H2_AT20_HDM-B5_STXAQX_ABN_4745_H	H2	AT20	HDM-B5	STXAQX	ABN	4745	H	150	Austria	Vienna	aquarium	48.19766	16.35292
H2_AT20_HDM-F1_STXAQX_ABN_4745_N	H2	AT20	HDM-F1	STXAQX	ABN	4745	N	150	Austria	Vienna	aquarium	48.19766	16.35292
H2_AT20_HDM-F2_STXAQX_ABN_4745_O	H2	AT20	HDM-F2	STXAQX	ABN	4745	O	150	Austria	Vienna	aquarium	48.19766	16.35292
H2_AT20_HDM-F3_STXAQX_ABN_4745_P	H2	AT20	HDM-F3	STXAQX	ABN	4745	P	150	Austria	Vienna	aquarium	48.19766	16.35292
H2_AT20_HDM-F4_STXAQX_ABN_4745_Q	H2	AT20	HDM-F4	STXAQX	ABN	4745	Q	150	Austria	Vienna	aquarium	48.19766	16.35292
H2_AT20_HDM-clA1_STXAQX_ABN_4745_I	H2	AT20	HDM-clA1	STXAQX	ABN	4745	I	150	Austria	Vienna	aquarium	48.19766	16.35292
H2_AT20_HDM-clA2_STXAQX_ABN_4745_J	H2	AT20	HDM-clA2	STXAQX	ABN	4745	J	150	Austria	Vienna	aquarium	48.19766	16.35292
H2_AT20_HDM-clA3_STXAQX_ABN_4745_K	H2	AT20	HDM-clA3	STXAQX	ABN	4745	K	150	Austria	Vienna	aquarium	48.19766	16.35292
H2_AT20_HDM-clB1_STXAQX_ABN_4745_Y	H2	AT20	HDM-clB1	STXAQX	ABN	4745	Y	150	Austria	Vienna	aquarium	48.19766	16.35292
H2_AT20_HDM-clB2_STXAQX_ABN_4745_Z	H2	AT20	HDM-clB2	STXAQX	ABN	4745	Z	150	Austria	Vienna	aquarium	48.19766	16.35292
H2_AT20_HDM-clB3_STXAQX_ABN_4745_AA	H2	AT20	HDM-clB3	STXAQX	ABN	4745	AA	150	Austria	Vienna	aquarium	48.19766	16.35292
H2_AT20_HDM-clB4_STXAQX_ABN_4745_AB	H2	AT20	HDM-clB4	STXAQX	ABN	4745	AB	150	Austria	Vienna	aquarium	48.19766	16.35292
H2_HW15_00A_KWCT-cl6_ABN_1966_A	H2	HW15	00A	Kewalocoraltank-cl6	ABN	1966	A	100	USA	Hawaii	aquarium	21.19133	-157.86106
H2_HW15_00B_KWCT-cl6_ABN_1966_B	H2	HW15	00B	Kewalocoraltank-cl6	ABN	1966	B	100	USA	Hawaii	aquarium	21.19133	-157.86106
H2_HW15_E5_KWCT-clE_ABN_3917_AE	H2	HW15	E5	Kewalocoraltank-clE	ABN	3917	AE	150	USA	Hawaii	aquarium	21.19133	-157.86106
H2_HW15_E6_KWCT-clE_ABN_3917_AF	H2	HW15	E6	Kewalocoraltank-clE	ABN	3917	AF	150	USA	Hawaii	aquarium	21.19133	-157.86106
H2_MPIMM19_A1_MPIAQ_ABN_4745_A	H2	MPIMM19	A1	MarineAquariumlivingstones	ABN	4745	A	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_A2_MPIAQ_ABN_4745_B	H2	MPIMM19	A2	MarineAquariumlivingstones	ABN	4745	B	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_A3_MPIAQ_ABN_4745_C	H2	MPIMM19	A3	MarineAquariumlivingstones	ABN	4745	C	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_A4_MPIAQ_ABN_4745_D	H2	MPIMM19	A4	MarineAquariumlivingstones	ABN	4745	D	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_A5_MPIAQ_ABN_4745_E	H2	MPIMM19	A5	MarineAquariumlivingstones	ABN	4745	E	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_A6_MPIAQ_ABN_4745_F	H2	MPIMM19	A6	MarineAquariumlivingstones	ABN	4745	F	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_B1_MPIAQ_ABN_3917_A	H2	MPIMM19	B1	MarineAquariumlivingstones	ABN	3917	A	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_B3_MPIAQ_ABN_3917_B	H2	MPIMM19	B3	MarineAquariumlivingstones	ABN	3917	B	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_B4_MPIAQ_ABN_3917_C	H2	MPIMM19	B4	MarineAquariumlivingstones	ABN	3917	C	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_B5_MPIAQ_ABN_3917_D	H2	MPIMM19	B5	MarineAquariumlivingstones	ABN	3917	D	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_B7_MPIAQ_ABN_3917_E	H2	MPIMM19	B7	MarineAquariumlivingstones	ABN	3917	E	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_C1_MPIAQ_ABN_3917_F	H2	MPIMM19	C1	MarineAquariumlivingstones	ABN	3917	F	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_C1_MPIAQ_ABN_4745_G	H2	MPIMM19	C1	MarineAquariumlivingstones	ABN	4745	G	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_C2_MPIAQ_ABN_4745_H	H2	MPIMM19	C2	MarineAquariumlivingstones	ABN	4745	H	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_C3_MPIAQ_ABN_4745_I	H2	MPIMM19	C3	MarineAquariumlivingstones	ABN	4745	I	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_C4_MPIAQ_ABN_3917_G	H2	MPIMM19	C4	MarineAquariumlivingstones	ABN	3917	G	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_C4_MPIAQ_ABN_4745_J	H2	MPIMM19	C4	MarineAquariumlivingstones	ABN	4745	J	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_C5_MPIAQ_ABN_3917_H	H2	MPIMM19	C5	MarineAquariumlivingstones	ABN	3917	H	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_C5_MPIAQ_ABN_4745_K	H2	MPIMM19	C5	MarineAquariumlivingstones	ABN	4745	K	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_C6_MPIAQ_ABN_4745_L	H2	MPIMM19	C6	MarineAquariumlivingstones	ABN	4745	L	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_C7_MPIAQ_ABN_3917_J	H2	MPIMM19	C7	MarineAquariumlivingstones	ABN	3917	J	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_E3_MPIAQ_ABN_3917_L	H2	MPIMM19	E3	MarineAquariumlivingstones	ABN	3917	L	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_E5_MPIAQ_ABN_3917_M	H2	MPIMM19	E5	MarineAquariumlivingstones	ABN	3917	M	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_E6_MPIAQ_ABN_3917_N	H2	MPIMM19	E6	MarineAquariumlivingstones	ABN	3917	N	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_E7_MPIAQ_ABN_3917_O	H2	MPIMM19	E7	MarineAquariumlivingstones	ABN	3917	O	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_F4_MPIAQ_ABN_3917_S	H2	MPIMM19	F4	MarineAquariumlivingstones	ABN	3917	S	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_G2_MPIAQ_ABN_3917_V	H2	MPIMM19	G2	MarineAquariumlivingstones	ABN	3917	V	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_K1_MPIAQ_ABN_4745_S	H2	MPIMM19	K1	MarineAquariumlivingstones	ABN	4745	S	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_K2_MPIAQ_ABN_4745_T	H2	MPIMM19	K2	MarineAquariumlivingstones	ABN	4745	T	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_K3_MPIAQ_ABN_4745_U	H2	MPIMM19	K3	MarineAquariumlivingstones	ABN	4745	U	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_K4_MPIAQ_ABN_4745_V	H2	MPIMM19	K4	MarineAquariumlivingstones	ABN	4745	V	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_K5_MPIAQ_ABN_4745_W	H2	MPIMM19	K5	MarineAquariumlivingstones	ABN	4745	W	150	Germany	Bremen	aquarium	53.10965	8.84755
H2_MPIMM19_K6_MPIAQ_ABN_4745_X	H2	MPIMM19	K6	MarineAquariumlivingstones	ABN	4745	X	150	Germany	Bremen	aquarium	53.10965	8.84755
